8d68799,Antony Leons,8 days ago,html fix
70afb7e,Antony Leons,8 days ago,Merge pull request #5 from Openanttony/search-time-filtering-Antony
1019a71,Antony Leons,8 days ago,added search filtering, working state
04164f7,JamesDun2866,8 days ago,Added Fetch for Rooms
46ca2d1,Antony Leons,8 days ago,added ordering
b85f6a9,Antony Leons,8 days ago,Merge pull request #4 from Openanttony/insert-data-filtering
5285ba3,Antony Leons,8 days ago,added date validation to instert data
e1acda4,JamesDun2866,8 days ago,Merge pull request #3 from Openanttony/format-and-filtering-antony
fd79a72,Antony Leons,8 days ago,more detailed instructions
4779f1f,Antony Leons,8 days ago,Update README.md
d5b92c9,Antony Leons,8 days ago,search filters
f53c4bf,JamesDun2866,8 days ago,Merge branch 'master' into Agile--James
65fc7fa,Antony Leons,8 days ago,new travis
8c5f02e,Antony Leons,8 days ago,Update .travis.yml
f3aeb7b,Antony Leons,8 days ago,Create composer.json
5af4d2e,Antony Leons,8 days ago,Update .travis.yml
71f1e3b,Antony Leons,9 days ago,travis name fix
406a29e,Antony Leons,9 days ago,delete clutter from merge
3c02d0c,Antony Leons,9 days ago,Merge pull request #1 from Openanttony/SQL-ICAL-Antony
1a61a3b,Antony Leons,9 days ago,update search
76e3b93,Antony Leons,9 days ago,remove composer
cddc5f6,Antony Leons,9 days ago,created composer.json
5e38af4,Antony Leons,9 days ago,add travis and ID
29b96bb,Antony Leons,9 days ago,inserts to sql
9504b7c,Antony Leons,9 days ago,added ID
9066178,JamesDun2866,9 days ago,Story 1 - Lecturer booking
e9134a8,Antony Leons,9 days ago,time format fixed
0174026,Antony Leons,9 days ago,rename and changed to get
e544d74,Antony Leons,9 days ago,Merge branch 'master' into SQL-ICAL-Antony
731a845,Antony Leons,9 days ago,remove ID column and reshuffle
fb9538f,Antony Leons,9 days ago,Printing to table
43dbe3a,Antony Leons,10 days ago,bullet points
350ea97,Antony Leons,11 days ago,prints ical
ead5722,Antony Leons,13 days ago,can download file
15c089d,Antony Leons,13 days ago,Work in progress
a7770d4,Antony Leons,2 weeks ago,table and instructions
eda568a,Antony Leons,2 weeks ago,fetch
305aba9,Antony Leons,2 weeks ago,competed search and started fetch
313767b,Antony Leons,2 weeks ago,woks bois
3d16e45,Antony Leons,2 weeks ago,work in progress
7d25322,Antony Leons,2 weeks ago,error message
b0066bb,Antony Leons,2 weeks ago,working
f3c474b,Antony Leons,3 weeks ago,Delete CNAME
f4a0094,Antony Leons,3 weeks ago,Create CNAME
5962fae,Antony Leons,3 weeks ago,import web tech for testing
